Created At: 2026-09-20T11:36:20-03:00
Completed At: 2026-09-20T11:36:20-03:00
File Path: `file:///c:/Users/JOE/Documents/GitHub/financeiro-web/frontend/src/app/pages/inadimplencia/inadimplencia.component.html`
Total Lines: 1401
Total Bytes: 87208
Showing lines 1 to 800
Content truncated: showing bytes 0-46080 of 51822. To see more, call this tool again with the same line range and ContentOffset=46080.
The following code has been modified to include a line number before every line, in the format: <line_number>: <original_line>. Please note that any changes targeting the original code should remove the line number, colon, and leading space.
1: <div class="page-container">
2:   <div class="main-layout">
155:                       </div>
156:                       <div class="col-12 col-md-6">
157:                         <div
158:                           class="dash-chart-card p-4 bg-white border rounded-3 shadow-sm d-flex flex-column justify-content-center">
159:                           <app-skeleton type="text" width="40%" height="14px" class="mb-2"></app-skeleton>
160:                           <app-skeleton type="rect" width="50%" height="32px"
161:                             [style.border-radius]="'8px'"></app-skeleton>
162:                         </div>
163:                       </div>
164:                     </div>
165:                     <div class="row g-4 mt-4 pt-4 border-top">
166:                       <div class="col-12">
167:                         <div class="dash-chart-card p-3 bg-white border rounded-3 shadow-sm">
168:                           <app-skeleton type="text" width="30%" height="18px" class="mb-3"></app-skeleton>
169:                           <app-skeleton type="rect" width="100%" height="300px"></app-skeleton>
170:                         </div>
171:                       </div>
172:                     </div>
173:                   </div>
174:                   <div class="row g-4 mb-4">
175:                     <div class="col-12 col-xl-8">
176:                       <div class="dash-chart-card h-100 p-3 bg-white border rounded-3 shadow-sm">
177:                         <app-skeleton type="text" width="40%" height="18px" class="mb-3"></app-skeleton>
178:                         <app-skeleton type="rect" width="100%" height="280px"></app-skeleton>
179:                       </div>
180:                     </div>
181:                     <div class="col-12 col-xl-4">
182:                       <div class="dash-chart-card h-100 p-3 bg-white border rounded-3 shadow-sm">
183:                         <app-skeleton type="text" width="60%" height="18px" class="mb-3"></app-skeleton>
184:                         <div class="d-flex justify-content-center align-items-center" style="height: 280px;">
185:                           <app-skeleton type="rect" width="220px" height="220px"
186:                             [style.border-radius]="'50%'"></app-skeleton>
187:                         </div>
188:                       </div>
189:                     </div>
190:                   </div>
191:                   <div class="row g-4 mb-4">
192:                     <div class="col-12 col-xl-4">
193:                       <div class="dash-chart-card h-100 p-3 bg-white border rounded-3 shadow-sm">
194:                         <app-skeleton type="text" width="50%" height="18px" class="mb-3"></app-skeleton>
195:                         <app-skeleton type="rect" width="100%" height="280px"></app-skeleton>
196:                       </div>
197:                     </div>
198:                   </div>
199:                 </div>
200: 
201:                 <!-- SKELETON: LOGISTICA -->
202:                 <div *ngIf="dashboardTab() === 'logistica'">
203:                   <div class="dash-kpi-panel border rounded-4 p-4 mb-4 border-2">
204:                     <h5 class="fw-bold text-secondary mb-3 ms-1">Atual</h5>
205:                     <div class="row g-4">
206:                       <div class="col-12 col-md-6">
207:                         <div
208:                           class="dash-chart-card p-4 bg-white border rounded-3 shadow-sm d-flex flex-column justify-content-center">
209:                           <app-skeleton type="text" width="40%" height="14px" class="mb-2"></app-skeleton>
210:                           <app-skeleton type="rect" width="50%" height="32px"
211:                             [style.border-radius]="'8px'"></app-skeleton>
212:                         </div>
213:                       </div>
214:                       <div class="col-12 col-md-6">
215:                         <div
216:                           class="dash-chart-card p-4 bg-white border rounded-3 shadow-sm d-flex flex-column justify-content-center">
217:                           <app-skeleton type="text" width="40%" height="14px" class="mb-2"></app-skeleton>
218:                           <app-skeleton type="rect" width="50%" height="32px"
219:                             [style.border-radius]="'8px'"></app-skeleton>
220:                         </div>
221:                       </div>
222:                     </div>
223:                     <div class="mt-4 border-top pt-4">
224:                       <div class="row g-4 mb-4">
225:                         <div class="col-12 col-xl-6">
226:                           <div class="dash-chart-card p-3 bg-white border rounded-3 shadow-sm h-100">
227:                             <app-skeleton type="text" width="40%" height="18px" class="mb-3"></app-skeleton>
228:                             <app-skeleton type="rect" width="100%" height="250px"></app-skeleton>
229:                           </div>
230:                         </div>
231:                         <div class="col-12 col-xl-6">
232:                           <div class="dash-chart-card p-3 bg-white border rounded-3 shadow-sm h-100">
233:                             <app-skeleton type="text" width="40%" height="18px" class="mb-3"></app-skeleton>
234:                             <app-skeleton type="rect" width="100%" height="250px"></app-skeleton>
235:                           </div>
236:                         </div>
237:                       </div>
238:                     </div>
239:                   </div>
240:                   <div class="row g-4 mb-4">
241:                     <div class="col-12 col-md-6">
242:                       <div
243:                         class="dash-chart-card p-4 bg-white border rounded-3 shadow-sm d-flex flex-column align-items-center justify-content-center">
244:                         <app-skeleton type="text" width="60%" height="14px" class="mb-2"></app-skeleton>
245:                         <app-skeleton type="rect" width="40%" height="32px"
246:                           [style.border-radius]="'8px'"></app-skeleton>
247:                       </div>
248:                     </div>
249:                     <div class="col-12 col-md-6">
250:                       <div
251:                         class="dash-chart-card p-4 bg-white border rounded-3 shadow-sm d-flex flex-column align-items-center justify-content-center">
252:                         <app-skeleton type="text" width="60%" height="14px" class="mb-2"></app-skeleton>
253:                         <app-skeleton type="rect" width="40%" height="32px"
254:                           [style.border-radius]="'8px'"></app-skeleton>
255:                       </div>
256:                     </div>
257:                   </div>
258:                   <div class="row g-4 mb-4">
259:                     <div class="col-12 col-xl-6">
260:                       <div class="dash-chart-card h-100 p-3 bg-white border rounded-3 shadow-sm">
261:                         <app-skeleton type="text" width="60%" height="18px" class="mb-3"></app-skeleton>
262:                         <app-skeleton type="rect" width="100%" height="280px"></app-skeleton>
263:                       </div>
264:                     </div>
265:                     <div class="col-12 col-xl-6">
266:                       <div class="dash-chart-card h-100 p-3 bg-white border rounded-3 shadow-sm">
267:                         <app-skeleton type="text" width="60%" height="18px" class="mb-3"></app-skeleton>
268:                         <app-skeleton type="rect" width="100%" height="280px"></app-skeleton>
269:                       </div>
270:                     </div>
271:                   </div>
272:                 </div>
273: 
274:                 <!-- SKELETON: COMERCIAL -->
275:                 <div *ngIf="dashboardTab() === 'comercial'">
276:                   <div class="dash-kpi-panel border rounded-4 p-4 mb-4 border-2">
277:                     <h5 class="fw-bold text-secondary mb-3 ms-1">Atual</h5>
278:                     <div class="row g-4">
279:                       <div class="col-12 col-md-6 col-xl-4">
280:                         <div
281:                           class="dash-chart-card p-4 bg-white border rounded-3 shadow-sm d-flex flex-column justify-content-center">
282:                           <app-skeleton type="text" width="40%" height="14px" class="mb-2"></app-skeleton>
283:                           <app-skeleton type="rect" width="50%" height="32px"
284:                             [style.border-radius]="'8px'"></app-skeleton>
285:                         </div>
286:                       </div>
287:                     </div>
288:                     <div class="mt-4 border-top pt-4">
289:                       <div class="row g-4 mb-4">
290:                         <div class="col-12">
291:                           <div class="dash-chart-card p-3 bg-white border rounded-3 shadow-sm h-100">
292:                             <app-skeleton type="text" width="40%" height="18px" class="mb-3"></app-skeleton>
293:                             <app-skeleton type="rect" width="100%" height="250px"></app-skeleton>
294:                           </div>
295:                         </div>
296:                       </div>
297:                     </div>
298:                   </div>
299:                   <div class="row g-4 mb-4">
300:                     <div class="col-12 col-xl-4">
301:                       <div class="dash-chart-card h-100 p-3 bg-white border rounded-3 shadow-sm">
302:                         <app-skeleton type="text" width="40%" height="18px" class="mb-3"></app-skeleton>
303:                         <app-skeleton type="rect" width="100%" height="175px"></app-skeleton>
304:                       </div>
305:                     </div>
306:                     <div class="col-12 col-xl-8">
307:                       <div class="dash-chart-card h-100 p-3 bg-white border rounded-3 shadow-sm">
308:                         <app-skeleton type="text" width="60%" height="18px" class="mb-3"></app-skeleton>
309:                         <app-skeleton type="rect" width="100%" height="280px"></app-skeleton>
310:                       </div>
311:                     </div>
312:                   </div>
313:                 </div>
314:               </div>
315: 
316:               <!-- CONTEUDO REAL -->
317:               <div *ngIf="!isDashboardLoading()">
318: 
319:                 <!-- DASHBOARD: VISAO GERAL (CONSOLIDADO) -->
320:                 <div *ngIf="dashboardTab() === 'visao-geral'">
321: 
322:                   <!-- GRUPO 1: Financeiro -->
323:                   <div class="dash-kpi-panel border rounded-4 p-4 mb-4 border-2">
324:                     <h5 class="fw-bold text-secondary mb-3 ms-1">Financeiro</h5>
325:                     <div class="row g-4">
326:                       <div class="col-12 col-xl-4">
327:                         <div
328:                           class="dash-chart-card h-100 p-3 bg-white border rounded-3 shadow-sm position-relative d-flex flex-column">
329:                           <h6 class="mb-3 fw-semibold text-secondary w-75">Títulos Pagos Fora do Prazo (Anual)</h6>
330:                           <span class="badge bg-secondary bg-opacity-10 text-secondary border position-absolute"
331:                             style="top: 1rem; right: 1rem;">359 Títulos</span>
332:                           <div echarts *ngIf="chartOptionsAtrasoAnual" [options]="chartOptionsAtrasoAnual"
333:                             class="chart-container flex-grow-1 w-100" style="min-height: 250px;"></div>
334:                         </div>
335:                       </div>
336:                       <div class="col-12 col-xl-4">
337:                         <div
338:                           class="dash-chart-card h-100 p-3 bg-white border rounded-3 shadow-sm position-relative d-flex flex-column">
339:                           <h6 class="mb-3 fw-semibold text-secondary w-75">Protestos no Semestre</h6>
340:                           <span class="badge bg-secondary bg-opacity-10 text-secondary border position-absolute"
341:                             style="top: 1rem; right: 1rem;">57 Títulos</span>
342:                           <div echarts *ngIf="chartOptionsProtestos" [options]="chartOptionsProtestos"
343:                             class="chart-container flex-grow-1 w-100" style="min-height: 250px;"></div>
344:                         </div>
345:                       </div>
346:                       <div class="col-12 col-xl-4">
347:                         <div class="dash-chart-card h-100 p-3 bg-white border rounded-3 shadow-sm d-flex flex-column">
348:                           <h6 class="mb-3 fw-semibold text-secondary">Boletos Vencidos por Faixa (Dias)</h6>
349:                           <div echarts *ngIf="chartOptionsFaixasAtraso" [options]="chartOptionsFaixasAtraso"
350:                             class="chart-container flex-grow-1 w-100" style="min-height: 250px;"></div>
351:                         </div>
352:                       </div>
353:                     </div>
354:                   </div>
355: 
356:                   <!-- GRUPO 2: Logística -->
357:                   <div class="dash-kpi-panel border rounded-4 p-4 mb-4 border-2">
358:                     <h5 class="fw-bold text-secondary mb-3 ms-1">Logística</h5>
359:                     <div class="row g-4">
360:                       <div class="col-12 col-xl-6">
361:                         <div
362:                           class="dash-chart-card h-100 p-3 bg-white border rounded-3 shadow-sm position-relative d-flex flex-column">
363:                           <h6 class="mb-3 fw-semibold text-secondary w-75">Ocorrências Sem Data de Entrega (Mês a Mês)
364:                           </h6>
365:                           <span
366:                             class="badge bg-warning bg-opacity-10 text-warning border border-warning-subtle position-absolute"
367:                             style="top: 1rem; right: 1rem;">283 Títulos</span>
368:                           <div echarts *ngIf="chartOptionsSemEntrega" [options]="chartOptionsSemEntrega"
369:                             class="chart-container flex-grow-1 w-100" style="min-height: 250px;"></div>
370:                         </div>
371:                       </div>
372:                       <div class="col-12 col-xl-6">
373:                         <div
374:                           class="dash-chart-card h-100 p-3 bg-white border rounded-3 shadow-sm position-relative d-flex flex-column">
375:                           <h6 class="mb-3 fw-semibold text-secondary w-75">Ocorrências de Devolução (Mês a Mês)</h6>
376:                           <span
377:                             class="badge bg-danger bg-opacity-10 text-danger border border-danger-subtle position-absolute"
378:                             style="top: 1rem; right: 1rem;">169 Títulos</span>
379:                           <div echarts *ngIf="chartOptionsDevolucao" [options]="chartOptionsDevolucao"
380:                             class="chart-container flex-grow-1 w-100" style="min-height: 250px;"></div>
381:                         </div>
382:                       </div>
383:                     </div>
384:                   </div>
385: 
386:                   <!-- GRUPO 3: Comercial -->
387:                   <div class="dash-kpi-panel border rounded-4 p-4 mb-4 border-2">
388:                     <h5 class="fw-bold text-secondary mb-3 ms-1">Comercial</h5>
389:                     <div class="row g-4">
390:                       <div class="col-12 col-xl-6">
391:                         <div class="dash-chart-card h-100 p-3 bg-white border rounded-3 shadow-sm d-flex flex-column">
392:                           <h6 class="mb-3 fw-semibold text-secondary">Ocorrência de Acordos Comerciais (Mês a Mês)</h6>
393:                           <div echarts *ngIf="chartOptionsAcordos" [options]="chartOptionsAcordos"
394:                             class="chart-container flex-grow-1 w-100" style="min-height: 280px;"></div>
395:                         </div>
396:                       </div>
397:                       <div class="col-12 col-xl-6">
398:                         <div class="row g-4 h-100">
399:                           <div class="col-12">
400:                             <div
401:                               class="dash-chart-card p-4 bg-white border rounded-3 shadow-sm d-flex flex-column align-items-center justify-content-center"
402:                               style="height: 120px;">
403:                               <p class="text-muted text-uppercase mb-1"
404:                                 style="font-size: 0.8rem; font-weight: 600; letter-spacing: 0.05em;">Total em Acordo
405:                                 Comercial</p>
406:                               <h3 class="fw-bold mb-0 text-primary">{{ kpiTotalAcordos | currency:'BRL' }}</h3>
407:                             </div>
408:                           </div>
409:                           <div class="col-12 flex-grow-1">
410:                             <div class="dash-chart-card p-3 bg-white border rounded-3 shadow-sm h-100">
411:                               <h6 class="mb-3 fw-semibold text-secondary">Ranking 5 Maiores Acordos</h6>
412:                               <table class="saas-table w-100 mt-2">
413:                                 <thead>
414:                                   <tr>
415:                                     <th>Cliente</th>
416:                                     <th class="text-end">Valor</th>
417:                                   </tr>
418:                                 </thead>
419:                                 <tbody>
420:                                   <tr *ngFor="let a of rankingAcordos.slice(0,5)">
421:                                     <td>{{ a.cliente }}</td>
422:                                     <td class="text-end"><span
423:                                         class="badge rounded-pill bg-primary bg-opacity-10 text-primary border border-primary-subtle px-2 py-1">{{
424:                                         a.valor | currency:'BRL' }}</span></td>
425:                                   </tr>
426:                                 </tbody>
427:                               </table>
428:                             </div>
429:                           </div>
430:                         </div>
431:                       </div>
432:                     </div>
433:                   </div>
434:                 </div>
435:                 <!-- DASHBOARD: FINANCEIRO -->
436:                 <div *ngIf="dashboardTab() === 'financeiro'">
437: 
438:                   <!-- Sub-navegação do Financeiro -->
439:                   <div class="mb-4 d-flex justify-content-start">
440:                     <div class="btn-group" role="group">
441:                       <button type="button" class="btn btn-outline-primary"
442:                         [class.active]="financeiroTab() === 'gerencial'" (click)="financeiroTab.set('gerencial')"
443:                         style="border-radius: 20px 0 0 20px; padding: 0.375rem 1.5rem; font-size: 0.875rem;">Gerencial</button>
444:                       <button type="button" class="btn btn-outline-primary"
445:                         [class.active]="financeiroTab() === 'gerente'" (click)="financeiroTab.set('gerente')"
446:                         style="border-radius: 0 20px 20px 0; padding: 0.375rem 1.5rem; font-size: 0.875rem;">Gerente/Representante</button>
447:                     </div>
448:                   </div>
449: 
450:                   <!-- Aba: Gerencial -->
451:                   <div *ngIf="financeiroTab() === 'gerencial'">
452: 
453:                     <!-- Painel: Atual -->
454:                     <div class="dash-kpi-panel border rounded-4 p-4 mb-4 border-2">
455:                       <div class="d-flex justify-content-between align-items-center mb-3">
456:                         <h5 class="fw-bold text-secondary mb-0 ms-1">Atual</h5>
457:                         <span
458:                           class="badge bg-secondary bg-opacity-10 text-secondary border border-secondary-subtle px-3 py-2"
459:                           style="font-size: 0.85rem;">
460:                           <i class="fa-regular fa-calendar me-2"></i>{{ dataHoje | date:'dd/MM/yyyy' }}
461:                         </span>
462:                       </div>
463:                       <div class="row g-4">
464:                         <div class="col-12 col-md-6">
465:                           <div
466:                             class="dash-chart-card p-4 bg-white border rounded-3 shadow-sm d-flex justify-content-between align-items-center h-100">
467:                             <div>
468:                               <p class="text-muted text-uppercase mb-1"
469:                                 style="font-size: 0.8rem; font-weight: 600; letter-spacing: 0.05em;">Total Vencido</p>
470:                               <h3 class="fw-bold mb-0 text-danger">{{ kpiTotalVencidoAtual | currency:'BRL' }}</h3>
471:                             </div>
472:                             <div class="text-end">
473:                               <span class="badge"
474:                                 [ngClass]="evolucaoVencido >= 0 ? 'bg-danger bg-opacity-10 text-danger' : 'bg-success bg-opacity-10 text-success'">
475:                                 <i class="fa-solid me-1"
476:                                   [ngClass]="evolucaoVencido >= 0 ? 'fa-arrow-trend-up' : 'fa-arrow-trend-down'"></i>
477:                                 {{ evolucaoVencido > 0 ? '+' : '' }}{{ evolucaoVencido }}% vs ontem
478:                               </span>
479:                             </div>
480:                           </div>
481:                         </div>
482:                         <div class="col-12 col-md-6">
483:                           <div
484:                             class="dash-chart-card p-4 bg-white border rounded-3 shadow-sm d-flex justify-content-between align-items-center h-100">
485:                             <div>
486:                               <p class="text-muted text-uppercase mb-1"
487:                                 style="font-size: 0.8rem; font-weight: 600; letter-spacing: 0.05em;">Total Protestado
488:                               </p>
489:                               <h3 class="fw-bold mb-0 text-warning" style="color: #f59e0b !important;">{{
490:                                 kpiTotalProtestadoAtual | currency:'BRL' }}</h3>
491:                             </div>
492:                             <div class="text-end">
493:                               <span class="badge"
494:                                 [ngClass]="evolucaoProtestado > 0 ? 'bg-danger bg-opacity-10 text-danger' : (evolucaoProtestado < 0 ? 'bg-success bg-opacity-10 text-success' : 'bg-secondary bg-opacity-10 text-secondary')">
495:                                 <i class="fa-solid me-1"
496:                                   [ngClass]="evolucaoProtestado > 0 ? 'fa-arrow-trend-up' : (evolucaoProtestado < 0 ? 'fa-arrow-trend-down' : 'fa-minus')"></i>
497:                                 {{ evolucaoProtestado > 0 ? '+' : '' }}{{ evolucaoProtestado }}% vs ontem
498:                               </span>
499:                             </div>
500:                           </div>
501:                         </div>
502:                       </div>
503:                       <!-- Grid: Títulos com Maiores Valores em Atraso (Movido para cima) -->
504:                       <div class="row g-4 mt-4 pt-4 border-top">
505:                         <div class="col-12">
506:                           <div class="dash-chart-card p-3 bg-white border rounded-3 shadow-sm">
507:                             <div class="d-flex justify-content-between align-items-center mb-3">
508:                               <h6 class="mb-0 fw-semibold text-secondary">Títulos em Atraso</h6>
509:                               <div class="config-toolbar mb-0">
510:                                 <div class="search-box">
511:                                   <i class="fa-solid fa-search text-muted position-absolute"
512:                                     style="left: 10px; top: 50%; transform: translateY(-50%);"></i>
513:                                   <input type="text" class="form-control form-control-sm" placeholder="Buscar..."
514:                                     [(ngModel)]="searchFinanceiro" (ngModelChange)="pageFinanceiro = 1"
515:                                     style="padding-left: 28px;">
516:                                 </div>
517:                               </div>
518:                             </div>
519:                             <table class="saas-table w-100 mt-2">
520:                               <thead>
521:                                 <tr>
522:                                   <th>Título</th>
523:                                   <th>Cliente</th>
524:                                   <th>Fase</th>
525:                                   <th>Vencimento</th>
526:                                   <th>Status</th>
527:                                   <th class="text-center">Qtd Títulos</th>
528:                                   <th class="text-end">Valor</th>
529:                                   <th class="text-center">Tratativas/Histórico</th>
530:                                 </tr>
531:                               </thead>
532:                               <tbody>
533:                                 <tr *ngFor="let t of paginatedFinanceiro">
534:                                   <td>{{ t.titulo }}</td>
535:                                   <td>{{ t.cliente }}</td>
536:                                   <td><span class="badge rounded-pill bg-light text-secondary border fw-normal">{{
537:                                       t.fase }}</span></td>
538:                                   <td>{{ t.vencimento | date:'dd/MM/yyyy' }}</td>
539:                                   <td><span
540:                                       class="badge status-badge bg-{{t.statusColor}} bg-opacity-10 text-{{t.statusColor}} border border-{{t.statusColor}}-subtle fw-normal px-2 py-1">{{
541:                                       t.status }}</span></td>
542:                                   <td class="text-center"><span
543:                                       class="badge rounded-pill bg-light text-secondary border px-2 py-1">{{ t.qtd
544:                                       }}</span></td>
545:                                   <td class="text-end"><span
546:                                       class="badge rounded-pill bg-danger bg-opacity-10 text-danger border border-danger-subtle px-2 py-1">{{
547:                                       t.valor | currency:'BRL' }}</span></td>
548:                                   <td class="text-center">
549:                                     <button class="btn btn-sm btn-light text-secondary border-0 p-1 me-1"
550:                                       title="Visualizar tratativas" (click)="abrirTratativas(t)">
551:                                       <i class="fa-regular fa-comments" style="font-size: 1.1rem;"></i>
552:                                     </button>
553:                                     <button class="btn btn-sm btn-light text-secondary border-0 p-1"
554:                                       title="Visualizar Histórico" (click)="abrirHistorico(t)">
555:                                       <i class="fa-solid fa-clock-rotate-left" style="font-size: 1.1rem;"></i>
556:                                     </button>
557:                                   </td>
558:                                 </tr>
559:                                 <tr *ngIf="paginatedFinanceiro.length === 0">
560:                                   <td colspan="8" class="text-center text-muted py-3">Nenhum título encontrado.</td>
561:                                 </tr>
562:                               </tbody>
563:                             </table>
564:                             <nav aria-label="Page navigation" class="mt-3" *ngIf="totalPagesFinanceiro > 1">
565:                               <ul class="pagination pagination-sm justify-content-end mb-0">
566:                                 <li class="page-item" [class.disabled]="pageFinanceiro === 1">
567:                                   <button class="page-link"
568:                                     (click)="pageFinanceiro = pageFinanceiro - 1">Anterior</button>
569:                                 </li>
570:                                 <li class="page-item disabled"><span class="page-link">Pág {{pageFinanceiro}} de
571:                                     {{totalPagesFinanceiro}}</span></li>
